Region,EPID,butterfly_richness,plant_richness,multidiv,red_list_butterflies,red_list_plants,threat_butterflies,threat_plants,reg_dist_butterflies,reg_dist_plants,trophic_interactions,unique_trophic_interactions,connectance,nestedness,pollination_potential,crop_pest_potential,biomass_lepi,abund_butterflies,RW,HW,SizeUnit,Forest,Arable,LUI,Fert,Grazing,Mowing,Timing,PC1,PC2
ALB,AEG01,2,28,0.7086956521739131,0,1,0,0.33,44,72,12,0,0.21428571428571427,0.9915281677069584,0,0,0.3096841366571318,2,3525400,5362300,9.79,0.43088169,0.08741514,1.68,49.789233333333335,0,2,182,0.8252464257639025,0.6683948840133294
ALB,AEG02,3,16,0.49782608695652175,0,0,0,0,57,69,10,0,0.20833333333333337,0.746226787015626,0,0,1.117932905451435,5,3535100,5360000,6.34,0.30659448,0.3710941,2.8,232.25,0,3,136,-0.36399492871738354,1.3950241780375239
ALB,AEG03,3,22,0.6282608695652174,1,0,0.17,0,46,71,16,0,0.24242424242424243,0.8485830209948683,0.34439086758819626,0,0.946731742315262,10,3539490,5363590,5.19,0.27067255,0.19330415,2,77,0,2.6666666666666665,152,1.067925833126894,-0.03503816362359789
ALB,AEG04,5,16,0.5978260869565217,1,1,0.17,0.33,44,72,17,0,0.2125,-0.9230144359917924,0.17905223175104135,0,0.6635557028211652,6,3531105,5360425,4.39,0.4379532,0.06840764,1.67,46.219233333333335,107.97266666666668,1,183,0.7166652035538786,0.4098528434335127
ALB,AEG05,5,18,0.6413043478260869,0,1,0,0.33,55,74,15,0,0.16666666666666666,-1.009432306238164,0.27055115271933267,0,2.1835473803274428,12,3532600,5362100,8.16,0.6024778900000001,0.02014784,1.76,55.08846666666667,120.2696,1,182,-1.3259188320460815,0.4095918650460255
ALB,AEG06,5,24,0.7717391304347826,0,1,0,0.33,44,71,16,0,0.13333333333333333,0.6178199424530949,0,0,2.417334834302722,13,3532780,5362700,6.4,0.42229864,0.05907011,2.64,53.9577,596.25,1,153,1.3108217931652317,0.9281406749339711
ALB,AEG07,11,37,1.3543478260869566,7,7,0.48,0.36,28,53,73,0,0.17936117936117937,0.9529863518685638,0,0,18.472660107483485,211,3527985,5361580,9.1,0.61063493,0.11885935,0.5,0,30.476166666666668,0,NA,-2.807364881810143,1.4684893266038859
ALB,AEG08,9,37,1.2543478260869565,2,0,0.42,0,41,68,77,0,0.23123123123123124,3.967791102511912,2.1050228603102266,0.13117557730323445,6.450992021436481,32,3536500,5365100,8.1,0.08398685,0.28982054,1.33,0,114.4033,1,167,1.3947702843007805,0.9030508781446112
ALB,AEG09,20,43,1.9347826086956523,12,6,0.41,0.25,30,58,141,1,0.16395348837209303,2.379907140930661,0.384530044900696,0,11.932482597838687,111,3537310,5361995,12.39,0.55294619,0.1013623,0.54,0,35.5125,0,NA,0.27825954345596815,0.4878378013426165
ALB,AEG10,12,29,1.2304347826086957,4,1,0.3,0.33,38,69,37,0,0.10632183908045977,1.9017727025670952,1.317618759873034,0.10936920835352495,3.030536433091708,27,3515825,5360120,4.13,0.4717053,0.0677846,0.92,0,0,1,196,1.139528442684982,-0.06257188232505903
ALB,AEG11,2,28,0.7086956521739131,0,2,0,0.33,56,68,11,0,0.19642857142857145,-0.5658627834815776,1.5,0,0.4327407877246686,2,3525780,5372020,5.61,0.6213612,0.17270762,1.8,43.7069,0,2.6666666666666665,152,1.4300735307294796,-0.6904380119837623
ALB,AEG12,6,27,0.8869565217391304,2,1,0.17,0.33,42,71,31,0,0.191358024691358,-1.7297472438632249,1.1666666666666667,0.16666666666666669,1.050252470749936,7,3526015,5361315,14.75,0.6931768700000001,0.11319777,1.68,50.7423,0,2,182,-0.17403519531033726,1.4557578182963211
ALB,AEG13,6,23,0.8,1,0,0.17,0,47,72,31,0,0.2246376811594203,0.1709948685982933,3.3771573092181946,0.20438239758848617,1.520080815273308,9,3526900,5361600,6.74,0.4738051,0.19050187,1.73,56.12846666666667,0,2,182,0.6418277542723898,-1.060290387819425
ALB,AEG14,7,20,0.7847826086956522,0,2,0,0.33,53,74,41,0,0.29285714285714287,3.349778046888418,4.173200794258091,0.244800288821124,2.345591299803066,9,3538500,5359900,5.64,0.24189321,0.40185135,2.16,129.64616666666666,0,2,153,-0.17336472077296952,-0.4167809212207203
ALB,AEG15,5,23,0.75,0,2,0,0.33,55,72,32,0,0.2782608695652174,0.9905544727016028,2.850109603700273,0.16207652439312228,1.4129097956456955,8,3533240,5372265,3.78,0.27754999999999996,0.4796049,2.53,170,0,3,152,1.9290483057056964,0.9018564923652844
ALB,AEG17,4,29,0.8304347826086957,0,0,0,0,45,72,26,0,0.22413793103448276,0.11148131186060516,1.75,0.25,0.66792059144877,4,3538460,5362520,1.98,0.31253336,0.2106697,2.17,96.25,0,3,152,0.19941041775415325,-0.5810390035658504
ALB,AEG18,4,23,0.7,1,0,0.17,0,54,73,26,0,0.2826086956521739,0.8564977784900959,3.5,0.25,0.8419137465008714,4,3538700,5360700,3.5,0.22054478000000002,0.42592193,2.47,157.57436666666666,0,3,153,0.7034517202242888,0.645913142285493
ALB,AEG19,2,17,0.4695652173913043,1,1,0.17,0.33,24,74,3,0,0.08823529411764706,NA,3.5,0.5,0.39509838806572983,2,3533200,5362300,5.13,0.6117192,0.03693514,2.86,51.3569,752.9564333333333,1,153,1.0831319490289917,-0.3442740580574398
ALB,AEG20,3,22,0.6282608695652174,0,0,0,0,54,73,11,0,0.16666666666666666,0.176557719724955,0,0,2.3655036014230273,15,3526420,5372480,2.19,0.68054151,0.07552487,1.73,16.666666666666664,316.4384,0,NA,-0.12442898840822066,0.21055895531195348
ALB,AEG21,3,21,0.6065217391304347,0,1,0,0.33,49,75,17,0,0.2698412698412698,1.7425874202664453,3.068372402162428,0,0.9368415708345202,4,3526505,5367220,2.93,0.34003284,0.30566695,3.43,133.68923333333333,1061.2059333333332,0,NA,1.1778664224499784,0.4809727194763347
ALB,AEG22,12,34,1.3391304347826083,5,2,0.47,0.42,40,62,93,0,0.22794117647058823,1.9237819392703135,0.546224747313448,0.03504819131186056,24.911165181569174,122,3538090,5363080,4.84,0.12888406,0.18856393,0.94,0,5.1653,1,197,1.7315102355014347,0.13998583730324637
ALB,AEG23,4,29,0.8304347826086957,0,2,0,0.33,58,70,35,0,0.3017241379310345,0.3748619257444859,4.839619736607675,0.34568712404340535,1.1150037794589458,5,3537990,5364710,0.49,0.050537280000000004,0.28999062,1.29,0,0,2,153,-1.3368499954454778,-3.5673666110976523
ALB,AEG24,3,17,0.5195652173913043,0,1,0,0.33,49,76,9,0,0.17647058823529413,0.32786709350586457,2.912204367471132,0.20801459767650943,1.9492538992392048,14,3536620,5362190,1.88,0.48153977,0.07579932,2.19,89.36746666666667,132.9787,2,152,0.958682879763464,-0.17943577478925518
ALB,AEG25,12,46,1.6,5,5,0.27,0.27,34,56,90,0,0.16304347826086957,1.927049037699453,0,0,6.81487323503306,77,3519300,5361995,22.06,0.73231983,0.0023493,0.67,0,54.6691,0,NA,-1.7514632833867878,0.7740932123434422
ALB,AEG26,16,37,1.6043478260869566,8,7,0.4,0.38,34,53,114,0,0.19256756756756757,2.101099719602737,0.6184223628877961,0.0294486839470379,15.108178174384715,140,3529985,5362000,1.4,0.25593855,0.1101376,1.39,0,235.7143,0,NA,0.5780501620744057,1.7997116834172757
ALB,AEG27,14,35,1.4608695652173913,7,7,0.31,0.26,33,57,105,0,0.21428571428571427,1.1283562014828548,0.41008172023735073,0,13.309415171567167,146,3535600,5364705,2.21,0.08173949999999999,0.25643173,1.3,0,205.12823333333333,0,NA,1.3041838118514761,1.1496478239788603
ALB,AEG28,8,45,1.3782608695652174,2,3,0.17,0.33,43,64,75,0,0.20833333333333337,3.707017071013353,0.46717413635815697,0,6.478509888641578,49,3536485,5369485,10.04,0.46089824,0.00823048,0.67,0,54.11683333333333,0,NA,1.117903973263537,0.12547650422193707
ALB,AEG30,10,34,1.2391304347826086,5,1,0.27,0.33,40,72,63,0,0.18529411764705883,1.856214304452346,0.7587137302836944,0.05058091535224628,13.065944743129576,103,3533900,5368820,1.37,0.5477216,0.14029364,1.01,0,124.0876,0,NA,-0.22516455761015458,0.5585466329177766
ALB,AEG31,4,32,0.8956521739130434,0,1,0,0.33,55,67,23,0,0.1796875,2.5724292886389346,1.4812916391712878,0.10580654565509198,5.628159006963726,38,3534100,5369100,4.28,0.57629822,0.1759476,0.7,0,59.5794,0,NA,0.6224531722397236,0.41873549427611845
ALB,AEG32,15,26,1.3152173913043477,7,1,0.38,0.33,32,74,55,1,0.14102564102564102,1.103506158220541,0,0,40.97804963192127,371,3536000,5369900,14.42,0.61989582,0,0.56,0,37.67913333333333,0,NA,0.030729719288577356,-1.1741676895932145
ALB,AEG33,13,38,1.4760869565217392,4,2,0.3,0.42,40,68,104,0,0.21052631578947367,2.7914158884776734,0.3745160642700385,0,10.581522566993204,105,3536400,5368300,15.46,0.37829712000000004,0.06123728,1.41,0,241.48343333333332,0,NA,1.2519803795678752,0.22531629912741244
ALB,AEG34,10,27,1.0869565217391304,3,1,0.34,0.33,41,70,60,0,0.2222222222222222,1.7736590858490493,0.7609215191216779,0.05435153708011985,7.82380719385116,55,3537100,5368800,6.6,0.36823782,0.01767921,0.87,0,91.9192,0,NA,-0.2052254282844632,-0.8701914807598218
ALB,AEG36,2,22,0.5782608695652174,1,2,0.17,0.33,50,73,7,0,0.1590909090909091,-0.6392318531432356,0,0,0.425374480764416,3,3522200,5371200,9.64,0.42853931,0.07506474,1.58,36.3569,0,2,183,-1.4572398530126558,-0.04389611633430948
ALB,AEG37,5,23,0.75,1,1,0.17,0.33,45,69,19,0,0.16521739130434782,2.1171060378044935,3.760096866771869,0.17905223175104135,1.1012177920531625,6,3530700,5362120,3.93,0.25971338,0.15688644,1.71,53.54383333333333,0,2,182,-0.14575978614982338,0.35073706638014307
ALB,AEG38,6,26,0.8652173913043477,2,1,0.17,0.33,45,72,31,0,0.1987179487179487,1.9667648305985033,1.9526006195579089,0.1394714728255649,1.7014985430409768,10,3531540,5366950,1.28,0.82207571,0.00451724,1.42,14.997933333333332,0,2,167,-0.7002864055928762,-2.3097511029833364
